,instr,course,term,evals,rcmnd_class,rcmnd_instr,time,class_weighted_evals,instr_weighted_evals,letter_expected,gpa_expected,letter_actual,gpa_actual
3699,"Anderson, Mark Ronald",MAE 155B,SP17,9,1.0,1.0,8.5,9,9,B+ ,3.63,B+ ,3.57
3700,"Tustaniwskyj, Jerry I",MAE 156B,SP17,9,0.7140000000000001,0.7140000000000001,16.5,6,6,A- ,3.71,A- ,3.71
3701,"Silberman, Jack",MAE 156B,SP17,22,0.955,1.0,18.4,21,22,B+ ,3.38,A- ,3.71
3702,"Tustaniwskyj, Jerry I",MAE 156B,SP17,22,0.955,0.955,18.4,21,21,B+ ,3.38,A- ,3.71
3703,"Gillett, David S",MAE 156B,SP17,14,0.857,0.929,15.79,12,13,A- ,3.71,B+ ,3.43
3704,"Beg, Farhat N.",MAE 170,SP17,40,0.725,0.775,10.29,29,31,B+ ,3.45,B- ,2.96
3705,"Cattolica, Robert J",MAE 170,SP17,13,0.769,0.769,8.96,10,10,B+ ,3.55,B- ,2.92
3706,"Bahadori, Mohammad Yousef",MAE 180A,SP17,24,0.9570000000000001,0.9570000000000001,5.59,23,23,A- ,3.9,B ,3.16
3707,"Cai, Shengqiang",MAE 20,SP17,19,0.8420000000000001,0.8420000000000001,3.72,16,16,B+ ,3.33,B+ ,3.46
3708,"Delson, Nathan Joseph",MAE 3,SP17,43,0.833,0.929,11.52,36,40,B+ ,3.46,B+ ,3.32
3709,"Garay, Javier",MAE 3,SP17,62,0.9520000000000001,0.855,13.52,59,53,B+ ,3.6,B+ ,3.63
3710,"Gravish, Nicholas G",MAE 3,SP17,62,0.852,0.9179999999999999,12.11,53,57,B+ ,3.51,B ,3.27
3711,"Gibson, Carl H.",MAE 5,SP17,26,0.625,0.667,4.33,16,17,B+ ,3.57,A- ,3.84
3712,"Lubarda, Marko",MAE 8,SP17,64,0.9179999999999999,0.82,6.13,59,52,A- ,3.71,B+ ,3.31
3713,"Rhoades, Brendon Patrick",MATH 100C,SP17,19,0.9470000000000001,1.0,8.92,18,19,B ,3.21,B+ ,3.43
3714,"Carter, Anne Toulson",MATH 103B,SP17,41,0.875,0.975,6.11,36,40,B ,3.11,C+ ,2.59
3715,"Buskin, Nikolay",MATH 104A,SP17,21,0.8,0.75,7.68,17,16,B ,3.1,C+ ,2.62
3716,"McKernan, James",MATH 109,SP17,54,0.843,0.706,7.46,46,38,B ,3.21,B- ,2.95
3717,"Mohammadi, Amir",MATH 109,SP17,34,0.879,0.879,7.41,30,30,B ,3.24,C ,2.25
3718,"Saab, Rayan",MATH 109,SP17,72,0.845,0.986,7.92,61,71,B ,3.2,C+ ,2.35
3719,"Um, Ko Woon",MATH 10A,SP17,73,0.809,0.735,6.83,59,54,B- ,2.71,C+ ,2.43
3720,"Dilts, James Paul",MATH 10B,SP17,107,0.745,0.6890000000000001,5.95,80,74,B- ,2.9,C+ ,2.44
3721,"Conant, James R",MATH 10B,SP17,108,0.9620000000000001,0.9420000000000001,6.1,104,102,B ,3.19,B- ,2.83
3722,"Curry, Sean N",MATH 10C,SP17,45,0.727,0.682,5.77,33,31,B ,3.05,B- ,2.71
3723,"Stone, Corey Dean",MATH 10C,SP17,96,0.789,0.856,5.71,76,82,B ,3.08,C+ ,2.63
3724,"Quarfoot, David James",MATH 11,SP17,82,0.8959999999999999,0.948,6.39,73,78,B+ ,3.39,B- ,2.87
3725,"Aghajani, Mohammadreza",MATH 11,SP17,80,0.789,0.737,7.21,63,59,B ,3.25,B- ,2.83
3726,"Rabin, Jeffrey Mark",MATH 120B,SP17,13,0.917,0.917,6.33,12,12,B ,3.0,C+ ,2.67
3727,"Oprea, Dragos N.",MATH 140B,SP17,14,0.929,0.929,10.5,13,13,B+ ,3.5,B ,3.26
3728,"Saab, Rayan",MATH 140C,SP17,23,1.0,0.909,7.45,23,21,B+ ,3.5,B- ,2.92
3729,"Bejenaru, Ioan",MATH 142B,SP17,43,0.7440000000000001,0.872,7.42,32,37,B ,3.24,C+ ,2.59
3730,"Tobin, Robin Joshua",MATH 152,SP17,59,0.982,0.982,6.87,58,58,B+ ,3.43,B- ,2.99
3731,"Bowers, Adam R.",MATH 163,SP17,34,0.818,0.97,5.65,28,33,B ,3.06,C+ ,2.59
3732,"Cheng, Li-Tien",MATH 170B,SP17,50,0.787,0.638,8.82,39,32,B ,3.09,C+ ,2.48
3733,"Leok, Melvin",MATH 170C,SP17,20,0.75,0.75,7.3,15,15,B+ ,3.3,B+ ,3.43
3734,"Gill, Philip E.",MATH 171B,SP17,27,0.708,0.708,7.68,19,19,B ,3.13,B- ,2.92
3735,"Cheng, Li-Tien",MATH 179,SP17,8,0.75,0.875,5.83,6,7,B ,3.0,B+ ,3.69
3736,"Dewey, Edward Harold",MATH 18,SP17,104,0.816,0.755,6.54,85,79,B ,3.18,B- ,2.9
3737,"Sterbenz, Jacob",MATH 18,SP17,62,0.852,0.885,6.26,53,55,B+ ,3.41,B- ,2.84
3738,"Li, Bo",MATH 18,SP17,94,0.955,0.9329999999999999,5.42,90,88,B+ ,3.63,B- ,2.85
3739,"Novak, Jonathan I",MATH 18,SP17,70,0.868,0.632,5.94,61,44,B+ ,3.35,B- ,2.78
3740,"Zheng, Tianyi",MATH 180C,SP17,44,0.8859999999999999,0.795,7.88,39,35,B+ ,3.38,B ,3.03
3741,"Xu, Ronghui",MATH 181A,SP17,53,0.9390000000000001,0.7959999999999999,6.94,50,42,B+ ,3.37,B- ,2.85
3742,"Bradic, Jelena",MATH 181B,SP17,41,0.897,0.821,7.34,37,34,B+ ,3.49,B- ,2.9
3743,"Quarfoot, David James",MATH 183,SP17,82,0.91,0.9229999999999999,6.45,75,76,B ,3.25,B- ,2.77
3744,"Arias-Castro, Ery",MATH 185,SP17,45,0.698,0.535,8.93,31,24,B ,3.19,B ,3.08
3745,"Bucur, Alina Ioana",MATH 187B,SP17,47,0.848,0.848,5.91,40,40,B+ ,3.56,B ,3.11
3746,"Tucker, Henry Jackson",MATH 20A,SP17,22,0.9520000000000001,0.23800000000000002,6.69,21,5,B ,3.1,C+ ,2.41
3747,"Stevens, Laura Jeanne",MATH 20B,SP17,79,0.8029999999999999,1.0,6.45,63,79,C+ ,2.68,C ,2.25
3748,"Um, Ko Woon",MATH 20B,SP17,56,0.727,0.6729999999999999,7.09,41,38,B- ,2.83,C+ ,2.43
3749,"Bowers, Adam R.",MATH 20C,SP17,151,0.879,0.965,6.99,133,146,B ,3.21,C+ ,2.49
3750,"Huynh, Thang L",MATH 20C,SP17,110,0.8220000000000001,0.841,6.69,90,93,B ,3.23,C+ ,2.53
3751,"Gawlik, Evan Scott",MATH 20D,SP17,135,0.929,0.9690000000000001,6.52,125,131,B+ ,3.34,B- ,2.76
3752,"Oprea, Dragos N.",MATH 20D,SP17,132,0.943,0.951,5.79,124,126,B+ ,3.52,B- ,2.84
3753,"Conant, James R",MATH 20E,SP17,148,0.902,0.958,6.27,133,142,B+ ,3.45,B+ ,3.31
3754,"Can, Mahir Bilen",MATH 20E,SP17,61,0.81,0.517,5.82,49,32,B ,3.2,B- ,2.85
3755,"Rogalski, Daniel",MATH 31CH,SP17,11,1.0,1.0,6.75,11,11,B ,3.25,B+ ,3.47
3756,"Ciotti, Benjamin",MATH 3C,SP17,50,0.9790000000000001,0.9790000000000001,5.96,49,49,B ,3.18,B- ,2.91
3757,"Stevens, Laura Jeanne",MATH 95,SP17,18,1.0,1.0,1.06,18,18,A- ,3.94,A- ,3.94
3758,"Bates, Kenneth Walter",MGT 103,SP17,52,0.981,0.981,4.15,51,51,B+ ,3.33,B- ,2.96
3759,"Eberhard, Craig A",MGT 103,SP17,51,0.941,0.961,4.5,48,49,B ,3.29,B ,3.12
3760,"Eberhard, Craig A",MGT 103,SP17,68,1.0,0.985,3.65,68,67,B+ ,3.5,B ,3.12
3761,"Eberhard, Craig A",MGT 103,SP17,68,0.971,0.941,4.23,66,64,B+ ,3.52,B ,3.12
3762,"Campbell, Robert Harold",MGT 103,SP17,120,0.983,1.0,5.39,118,120,A- ,3.85,A- ,3.83
3763,"Bates, Kenneth Walter",MGT 103,SP17,23,0.955,0.773,6.32,22,18,B+ ,3.45,B- ,2.96
3764,"Ehrich, Kristine R",MGT 103,SP17,66,0.909,0.894,3.87,60,59,B ,3.15,B ,3.01
3765,"Ehrich, Kristine R",MGT 103,SP17,48,0.958,0.958,3.93,46,46,B ,3.16,B ,3.01
3766,"Somasundaram, Tyagarajan",MGT 112,SP17,50,0.8,0.8,5.86,40,40,B ,3.26,B+ ,3.4
3767,"Somasundaram, Tyagarajan",MGT 112,SP17,46,0.9570000000000001,0.9129999999999999,5.82,44,42,B+ ,3.42,B+ ,3.4
3768,"Fuller, Robert L.",MGT 112,SP17,77,0.87,0.909,5.08,67,70,B+ ,3.67,B+ ,3.62
3769,"Fuller, Robert L.",MGT 112,SP17,72,0.887,0.93,5.26,64,67,B+ ,3.66,B+ ,3.62
3770,"Kim, Nancy Sun Kyung",MGT 117,SP17,37,0.838,0.865,5.53,31,32,B+ ,3.41,B+ ,3.47
3771,"Pecore, Joseph P.",MGT 12,SP17,174,0.96,0.971,3.15,167,169,B+ ,3.62,B ,3.21
3772,"Rutherford, Lamar",MGT 121A,SP17,39,0.605,0.474,4.23,24,18,B ,3.28,B- ,2.91
3773,"Rutherford, Lamar",MGT 121B,SP17,57,0.86,0.8420000000000001,3.93,49,48,B+ ,3.52,B- ,2.94
3774,"Edwards, Gregory S",MGT 129,SP17,28,0.929,0.929,2.87,26,26,A- ,3.83,B+ ,3.3
3775,"Sullivan, Robert S.",MGT 129,SP17,9,1.0,0.889,3.61,9,8,A ,4.0,B+ ,3.3
3776,"Houskeeper, Robert",MGT 131A,SP17,95,0.968,0.915,4.7,92,87,B+ ,3.55,B- ,2.71
3777,"Houskeeper, Robert",MGT 131B,SP17,110,0.9359999999999999,0.8909999999999999,5.15,103,98,B+ ,3.62,B+ ,3.49
3778,"Blakley, Bruce",MGT 132,SP17,44,0.909,0.909,5.55,40,40,B+ ,3.44,B+ ,3.37
3779,"Doran, Martha S",MGT 132,SP17,36,0.778,0.8059999999999999,6.5,28,29,B+ ,3.48,B ,3.18
3780,"Anderson, John Charles",MGT 135,SP17,19,1.0,1.0,4.5,19,19,B+ ,3.67,B- ,2.97
3781,"Lindenberger, Wade Douglas",MGT 136,SP17,128,0.9840000000000001,0.977,5.69,126,125,A- ,3.85,A- ,3.87
3782,"Lindenberger, Wade Douglas",MGT 137,SP17,61,1.0,1.0,5.28,61,61,A- ,3.88,A- ,3.94
3783,"Dechner, Gilad",MGT 143,SP17,24,0.833,0.708,6.08,20,17,B+ ,3.43,B+ ,3.44
3784,"Kim, Seongmoon",MGT 153,SP17,23,0.818,0.818,6.02,19,19,B+ ,3.5,B+ ,3.42
3785,"Campbell, Robert Harold",MGT 16,SP17,118,0.94,0.948,4.01,111,112,B+ ,3.67,B+ ,3.55
3786,"Campbell, Robert Harold",MGT 16,SP17,115,0.982,0.991,3.8,113,114,A- ,3.73,B+ ,3.55
3787,"Gowda, Shilpi S",MGT 16,SP17,45,0.978,0.9329999999999999,4.41,44,42,B+ ,3.65,B+ ,3.3
3788,"McKay, Mary A",MGT 164,SP17,53,0.83,0.774,4.61,44,41,B ,3.15,C+ ,2.7
3789,"Zimmermann, Carsten",MGT 164,SP17,70,0.8859999999999999,0.914,5.2,62,64,B+ ,3.64,B+ ,3.49
3790,"Smith, Pamela Karen",MGT 164,SP17,56,0.927,0.9640000000000001,5.03,52,54,B+ ,3.51,B+ ,3.64
3791,"Moran, Cathleen L.",MGT 166,SP17,64,0.922,0.8909999999999999,5.42,59,57,B ,3.29,B ,3.07
3792,"Moran, Cathleen L.",MGT 166,SP17,68,0.897,0.853,5.52,61,58,B+ ,3.36,B ,3.07
3793,"Jacob, Jo Dee C",MGT 167,SP17,68,1.0,1.0,3.58,68,68,B+ ,3.65,B+ ,3.58
3794,"Hedges, Kathleen",MGT 172,SP17,105,0.943,0.9329999999999999,3.7,99,98,B+ ,3.56,B+ ,3.45
3795,"Royal, Rebecca",MGT 172,SP17,91,0.955,0.955,3.71,87,87,B+ ,3.62,B+ ,3.42
3796,"Hedges, Kathleen",MGT 172,SP17,74,0.919,0.932,4.36,68,69,B+ ,3.62,B+ ,3.45
3797,"Zimmermann, Carsten",MGT 172,SP17,59,0.9309999999999999,0.948,4.39,55,56,B+ ,3.55,B+ ,3.41
3798,"Fuller, Robert L.",MGT 173,SP17,90,0.922,0.9329999999999999,3.26,83,84,A- ,3.9,A- ,3.89
3799,"McKay, Michael J",MGT 18,SP17,61,0.82,0.836,3.9,50,51,B+ ,3.36,B- ,2.92
3800,"McKay, Michael J",MGT 18,SP17,67,0.8809999999999999,0.91,3.5,59,61,B+ ,3.46,B- ,2.92
3801,"McKay, Michael J",MGT 18,SP17,72,0.903,0.958,3.75,65,69,B+ ,3.47,B- ,2.92
3802,"McKay, Mary A",MGT 18,SP17,66,0.815,0.862,4.22,54,57,B+ ,3.32,B- ,2.8
3803,"McKay, Mary A",MGT 18,SP17,60,0.883,0.917,4.63,53,55,B ,3.18,B- ,2.8
3804,"Buchanan, Harold G",MGT 181,SP17,127,0.9059999999999999,0.898,5.52,115,114,B+ ,3.42,B ,3.22
3805,"Buchanan, Harold G",MGT 181,SP17,120,0.9079999999999999,0.924,5.06,109,111,B+ ,3.48,B ,3.22
3806,"Willoughby, Michael Gene",MGT 183,SP17,34,0.938,0.8440000000000001,5.03,32,29,B ,3.24,B ,3.11
3807,"Dunn, Louis Jean",MGT 185,SP17,116,0.905,0.905,8.09,105,105,B+ ,3.7,B+ ,3.64
3808,"Dunn, Louis Jean",MGT 187,SP17,119,0.9159999999999999,0.9159999999999999,4.34,109,109,B+ ,3.58,A- ,3.71
3809,"Callen, Michael J",MGT 3,SP17,41,0.8290000000000001,0.805,4.5,34,33,B ,3.21,B ,3.13
3810,"Pecore, Joseph P.",MGT 45,SP17,135,0.978,0.985,6.02,132,133,B+ ,3.57,B ,3.05
3811,"Pecore, Joseph P.",MGT 45,SP17,115,0.93,0.9740000000000001,5.5,107,112,B+ ,3.61,B ,3.05
3812,"Houskeeper, Robert",MGT 5,SP17,126,0.9109999999999999,0.895,4.24,115,113,B+ ,3.57,B ,3.15
3813,"Lindenberger, Wade Douglas",MGT 5,SP17,65,0.9229999999999999,0.938,4.28,60,61,B+ ,3.51,B+ ,3.48
3814,"Chang, Edmond Yi-Teh",MMW 13,SP17,221,0.715,0.976,7.18,158,216,B ,3.19,B ,3.12
3815,"Murillo, Dana V.",MMW 13,SP17,200,0.73,0.91,6.05,146,182,B+ ,3.34,B ,3.29
3816,"Rahimi, Babak",MMW 13,SP17,214,0.653,0.8390000000000001,6.69,140,180,B+ ,3.36,B+ ,3.37
3817,"Chang, Edmond Yi-Teh",MMW 15,SP17,183,0.747,0.9590000000000001,5.62,137,175,B ,3.17,B ,3.26
3818,"Kwak, Nancy",MMW 15,SP17,137,0.634,0.9079999999999999,5.18,87,124,B ,3.25,B ,3.23
3819,"Evans, Ivan T",MMW 15,SP17,83,0.6890000000000001,0.878,4.14,57,73,B+ ,3.43,B+ ,3.4
3820,"Guy, Nancy",MUS 111,SP17,32,0.742,0.742,4.24,24,24,B+ ,3.39,B+ ,3.44
3821,"Curtis, Charles Rector",MUS 113,SP17,11,1.0,1.0,4.86,11,11,A- ,3.89,B+ ,3.64
3822,"Charney, Joshua Jamsheed",MUS 127,SP17,66,0.9690000000000001,0.985,2.98,64,65,A- ,3.74,B+ ,3.44
3823,"Ohnishi, Takae",MUS 130,SP17,13,1.0,1.0,2.5,13,13,A ,4.0,A ,4.0
3824,"Lander, Bonnie Elizabeth",MUS 15,SP17,99,0.968,0.9890000000000001,3.41,96,98,A- ,3.78,B+ ,3.61
3825,"Cantrell, Joe Leo",MUS 15,SP17,44,0.7859999999999999,0.833,3.87,35,37,B+ ,3.48,B+ ,3.32
3826,"Kini, Ashvin Rathnanand",MUS 153,SP17,7,0.833,1.0,3.7,6,7,B+ ,3.33,B- ,2.86
3827,"Burr, Anthony I",MUS 17,SP17,125,0.872,0.897,3.3,109,112,B+ ,3.55,B+ ,3.31
3828,"Erbe, Tom",MUS 172,SP17,10,0.889,0.889,5.83,9,9,B+ ,3.5,B+ ,3.53
3829,"Dubnov, Shlomo",MUS 173,SP17,8,1.0,1.0,4.75,8,8,A- ,3.88,A- ,3.84
3830,"Erbe, Tom",MUS 174C,SP17,7,1.0,1.0,3.64,7,7,A- ,3.86,A- ,3.84
3831,"Smyth, Tamara R.",MUS 175,SP17,12,0.909,0.727,3.41,11,9,B ,3.1,B ,3.06
3832,"Moellenberg, Todd Michael",MUS 1C,SP17,21,1.0,1.0,4.61,21,21,A- ,3.73,B+ ,3.55
3833,"Nestor, Ryan Douglas",MUS 4,SP17,78,0.948,0.948,2.72,74,74,A- ,3.82,B+ ,3.55
3834,"Miller, Caroline Louise",MUS 6,SP17,43,0.732,0.78,2.85,31,34,B+ ,3.37,B- ,2.89
3835,"Larson, Philip Clarion",MUS 95C,SP17,7,1.0,1.0,1.07,7,7,A ,4.0,A- ,3.9
3836,"Larson, Philip Clarion",MUS 95C,SP17,12,1.0,1.0,0.9,12,12,A- ,3.92,A- ,3.9
3837,"Kline, Matthew John",MUS 95E,SP17,19,1.0,0.9470000000000001,2.72,19,18,A ,4.0,A ,4.0
3838,"Larson, Philip Clarion",MUS 95K,SP17,12,1.0,1.0,0.86,12,12,A ,4.0,A ,4.0
3839,"Blair, Kyle Adam",MUS 95L,SP17,8,1.0,1.0,2.25,8,8,A- ,3.8,A ,4.0
3840,"Seshadri, Kartik",MUS 95W,SP17,10,0.889,0.778,1.75,9,8,A ,4.0,B+ ,3.59
3841,"Seshadri, Kartik",MUS 95W,SP17,6,1.0,1.0,2.5,6,6,A- ,3.8,B+ ,3.59
3842,"Chen, Yi",NANO 103,SP17,15,0.8,0.9329999999999999,5.03,12,14,B+ ,3.64,B+ ,3.69
3843,"Ong, Shyue Ping",NANO 106,SP17,74,0.903,0.917,8.56,67,68,B ,3.25,B- ,2.91
3844,"Chen, Shaochen",NANO 112,SP17,18,0.647,0.706,2.75,12,13,B+ ,3.31,B+ ,3.66
3845,"Tao, Andrea Rae",NANO 120B,SP17,16,0.5329999999999999,0.733,9.3,9,12,B+ ,3.5,B+ ,3.62
3846,"Lipomi, Darren John",NANO 134,SP17,24,0.9570000000000001,1.0,6.95,23,24,B+ ,3.41,B ,3.01
3847,"Meng, Y.Shirley",NANO 148,SP17,35,0.941,0.912,5.44,33,32,B+ ,3.67,B+ ,3.52
3848,"Lubarda, Vlado",NANO 150,SP17,10,1.0,1.0,6.9,10,10,B+ ,3.3,B+ ,3.45
3849,"Grush, Rick Scott",PHIL 10,SP17,86,0.885,0.9359999999999999,4.0,76,80,B+ ,3.45,B- ,2.96
3850,"Johnson, Monte",PHIL 102,SP17,11,1.0,1.0,6.5,11,11,B ,3.29,B ,3.16
3851,"Tolley, Clinton",PHIL 108,SP17,14,1.0,1.0,4.83,14,14,A- ,3.82,B+ ,3.46
3852,"Hardimon, Michael O.",PHIL 112,SP17,11,0.9,0.9,6.7,10,10,B ,3.2,B- ,2.98
3853,"McKenzie, Kerry V.",PHIL 12,SP17,54,0.882,0.961,3.89,48,52,B+ ,3.37,B ,3.11
3854,"Rickless, Samuel Charles",PHIL 120,SP17,30,0.9670000000000001,0.9670000000000001,5.97,29,29,B+ ,3.55,B+ ,3.62
3855,"McKenzie, Kerry V.",PHIL 130,SP17,25,0.76,0.88,4.02,19,22,B ,3.25,B ,3.23
3856,"Grush, Rick Scott",PHIL 136,SP17,20,0.9440000000000001,1.0,5.17,19,20,B+ ,3.44,B+ ,3.31
3857,"Callender, Craig Adam",PHIL 148,SP17,27,0.769,0.846,4.88,21,23,B+ ,3.43,B- ,2.84
3858,"Fulkerson, Matthew Todd",PHIL 15,SP17,26,0.9129999999999999,0.9570000000000001,4.33,24,25,B ,3.19,B ,3.11
3859,"Lamey, Andy M.",PHIL 164,SP17,11,0.9,0.9,3.7,10,10,B+ ,3.44,B- ,2.73
3860,"Rutherford, Donald Paul",PHIL 173,SP17,15,0.867,0.733,5.7,13,11,B ,3.18,B ,3.22
3861,"Sebens, Charles T",PHIL 25,SP17,17,0.941,1.0,3.88,16,17,B+ ,3.38,B ,3.25
3862,"Brandt, Reuven A",PHIL 27,SP17,90,0.759,0.943,3.54,68,85,B+ ,3.44,B ,3.13
3863,"Lamey, Andy M.",PHIL 28,SP17,82,0.684,0.899,4.82,56,74,B ,3.25,B ,3.24
3864,"Tolley, Clinton",PHIL 33,SP17,21,0.737,0.9470000000000001,4.5,15,20,B ,3.2,B+ ,3.41
3865,"Michelsen, Eric Leonard",PHYS 100C,SP17,21,0.9470000000000001,0.9470000000000001,7.76,20,20,B ,3.05,B- ,2.85
3866,"Flauger, Raphael M",PHYS 110B,SP17,16,1.0,1.0,6.13,16,16,B+ ,3.63,B+ ,3.44
3867,"Kleinfeld, David",PHYS 120,SP17,18,0.8240000000000001,1.0,10.5,15,18,B+ ,3.31,B+ ,3.35
3868,"Abarbanel, Henry Don Isaac",PHYS 130A,SP17,34,0.759,0.379,6.57,26,13,B ,3.07,B ,3.03
3869,"Averitt, Richard Douglas",PHYS 133,SP17,4,1.0,0.75,8.0,4,3,A ,4.0,A- ,3.78
3870,"Maple, M. Brian",PHYS 133,SP17,3,1.0,1.0,7.83,3,3,A ,4.0,A- ,3.78
3871,"Fuller, George Michael",PHYS 161,SP17,13,1.0,1.0,5.33,13,13,B+ ,3.45,B+ ,3.69
3872,"Keres, Dusan",PHYS 162,SP17,5,1.0,1.0,6.5,5,5,B+ ,3.5,B- ,2.8
3873,"Popmintchev, Tenio",PHYS 1A,SP17,168,0.8140000000000001,0.826,5.8,137,139,B+ ,3.33,B+ ,3.57
3874,"Yagil, Avi",PHYS 1AL,SP17,85,0.84,0.893,3.27,71,76,B+ ,3.53,B ,3.27
3875,"Tsai, Philbert S",PHYS 1B,SP17,94,0.736,0.966,5.63,69,91,B ,3.09,B ,3.09
3876,"Yagil, Avi",PHYS 1BL,SP17,61,0.679,0.7140000000000001,3.48,41,44,B+ ,3.48,B+ ,3.3
3877,"Coil, Alison",PHYS 1C,SP17,126,0.797,0.919,4.7,100,116,B+ ,3.5,B+ ,3.37
3878,"Paddock, Mark",PHYS 1C,SP17,316,0.775,0.87,5.75,245,275,B+ ,3.4,B+ ,3.59
3879,"Paddock, Mark",PHYS 1C,SP17,172,0.6729999999999999,0.813,4.8,116,140,B+ ,3.57,B+ ,3.59
3880,"Yagil, Avi",PHYS 1CL,SP17,337,0.674,0.77,3.26,227,259,B+ ,3.63,B+ ,3.38
3881,"Dudko, Olga",PHYS 2A,SP17,74,0.861,0.875,6.17,64,65,B- ,2.87,C+ ,2.42
3882,"Dudko, Olga",PHYS 2A,SP17,37,0.8059999999999999,0.889,5.19,30,33,B- ,2.94,C+ ,2.42
3883,"Averitt, Richard Douglas",PHYS 2B,SP17,107,0.7859999999999999,0.755,7.62,84,81,B ,3.04,B- ,2.88
3884,"Barreiro Guerrero, Julio",PHYS 2B,SP17,250,0.862,0.818,6.99,216,204,B ,3.17,B- ,2.84
3885,"Schuller, Ivan K",PHYS 2B,SP17,25,0.708,0.41700000000000004,7.72,18,10,B ,3.13,B- ,2.88
3886,"Lombardo, Daniel Marcus",PHYS 2BL,SP17,45,0.605,0.907,8.26,27,41,B+ ,3.55,B+ ,3.35
3887,"Branson, James G",PHYS 2C,SP17,106,0.693,0.455,6.09,73,48,B ,3.13,B ,3.09
3888,"Schuller, Ivan K",PHYS 2CL,SP17,57,0.627,0.608,6.5,36,35,B ,3.22,B ,3.1
3889,"Sinha, Sunil K",PHYS 2D,SP17,58,0.727,0.873,7.13,42,51,B ,3.07,B ,3.16
3890,"Butov, Leonid",PHYS 2DL,SP17,26,0.7829999999999999,0.7390000000000001,4.67,20,19,B ,3.22,B ,3.24
3891,"Manohar, Aneesh Vasant",PHYS 4B,SP17,35,0.903,0.867,7.9,32,30,B ,3.19,B- ,2.83
3892,"Hirsch, Jorge Eduardo",PHYS 4E,SP17,14,1.0,0.929,8.36,14,13,B ,3.07,B ,3.03
3893,"Konopacky, Quinn Morgan",PHYS 9,SP17,37,0.973,1.0,4.45,36,37,B+ ,3.5,B ,3.01
3894,"Vakilifathi, Mona Roseann",POLI 100A,SP17,36,0.909,0.9390000000000001,4.5,33,34,B+ ,3.53,B ,3.16
3895,"Fletcher, Nathan",POLI 103A,SP17,29,0.885,0.885,4.19,26,26,B+ ,3.68,B ,3.13
3896,"Erie, Steven P",POLI 103B,SP17,14,0.7140000000000001,0.857,4.81,10,12,B+ ,3.31,B ,3.29
3897,"Smith, Glenn Chatmas",POLI 104D,SP17,27,1.0,0.9620000000000001,5.58,27,26,B+ ,3.68,B+ ,3.33
3898,"Seligsohn, Deborah Jane",POLI 104E,SP17,29,0.9640000000000001,0.9640000000000001,4.5,28,28,B+ ,3.68,A- ,3.81
3899,"Orfield, Michael Bennett",POLI 104P,SP17,29,1.0,1.0,2.35,29,29,A- ,3.79,B+ ,3.44
3900,"Wong, Tak Kei",POLI 108,SP17,49,0.932,0.955,4.05,46,47,B+ ,3.39,B+ ,3.4
3901,"Hill, Seth J",POLI 10D,SP17,46,0.932,0.977,4.32,43,45,B+ ,3.49,B ,3.11
3902,"Gotti, John Roland",POLI 110C,SP17,8,1.0,1.0,4.21,8,8,A- ,3.86,B ,3.14
3903,"Forman, Fonna",POLI 117,SP17,4,1.0,1.0,4.5,4,4,B+ ,3.5,A- ,3.78
3904,"Ramanathan, Veerabhadran",POLI 117,SP17,4,1.0,1.0,4.5,4,4,B+ ,3.5,A- ,3.78
3905,"Fisk, David Lee",POLI 120H,SP17,27,0.963,1.0,4.72,26,27,B+ ,3.63,B+ ,3.63
3906,"Fisk, David Lee",POLI 120I,SP17,20,0.95,0.95,4.1,19,19,B+ ,3.58,B+ ,3.51
3907,"Shafir, Gershon",POLI 124,SP17,6,0.833,0.667,5.7,5,4,B+ ,3.5,B ,3.24
3908,"Feeley, Maureen Catherine",POLI 125,SP17,14,0.9229999999999999,0.9229999999999999,5.27,13,13,B+ ,3.46,B+ ,3.4
3909,"Feeley, Maureen Catherine",POLI 127,SP17,21,0.9520000000000001,0.9520000000000001,5.0,20,20,B+ ,3.63,B+ ,3.42
3910,"Gartzke, Erik",POLI 12D,SP17,73,0.882,0.897,4.56,64,65,B+ ,3.5,B+ ,3.49
3911,"Wu, Jason Yuyan",POLI 130B,SP17,32,1.0,0.9690000000000001,5.25,32,31,A- ,3.7,B+ ,3.6
3912,"Bredell, Garrett Bailey",POLI 133G,SP17,14,1.0,1.0,6.21,14,14,B+ ,3.54,B ,3.21
3913,"Nanes, Matthew Jacob",POLI 136A,SP17,32,0.9690000000000001,0.9690000000000001,5.08,31,31,B+ ,3.55,B+ ,3.39
3914,"Gartzke, Erik",POLI 142D,SP17,26,1.0,0.96,3.08,26,25,A- ,3.83,A- ,3.92
3915,"Willoughby, Randy K",POLI 142I,SP17,10,0.9,0.9,9.3,9,9,B ,3.2,B+ ,3.4
3916,"Magagna, Victor Valentine",POLI 142K,SP17,135,0.977,0.985,4.12,132,133,A- ,3.88,A- ,3.9
3917,"Magagna, Victor Valentine",POLI 142K,SP17,135,0.976,0.9840000000000001,3.54,132,133,A- ,3.93,A- ,3.9
3918,"Bergman, Matthew Edward",POLI 144D,SP17,6,0.833,1.0,4.5,5,6,B+ ,3.67,B ,3.26
3919,"Broz, James Lawrence",POLI 144F,SP17,15,0.9329999999999999,0.9329999999999999,4.79,14,14,B+ ,3.33,B- ,2.99
3920,"Roeder, Philip G",POLI 147B,SP17,13,0.917,0.917,4.83,12,12,B+ ,3.67,B+ ,3.41
